t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.6721,state,4,32.2014,-3.638,-0.0879,,,36.0
0.6814,cmd,3,16.0513,,,0.00,0.00,
0.6814,cmd,4,32.2014,,,0.00,0.00,
0.6820,state,3,16.0513,-1.959,-0.0440,,,37.0
0.6821,state,4,32.2014,0.839,-0.0293,,,36.0
0.6915,cmd,3,16.0513,,,0.00,0.00,
0.6915,cmd,4,32.2014,,,0.00,0.00,
0.6919,state,3,16.0513,4.757,-0.0147,,,37.0
0.6921,state,4,32.2014,-3.638,-0.0879,,,36.0
0.7014,cmd,3,16.0513,,,0.00,0.00,
0.7014,cmd,4,32.2014,,,0.00,0.00,
0.7020,state,3,16.0513,-4.757,-0.0147,,,37.0
0.7021,state,4,32.2014,-1.399,-0.0879,,,36.0
0.7114,cmd,3,16.0513,,,0.00,0.00,
0.7114,cmd,4,32.2014,,,0.00,0.00,
0.7120,state,3,16.0513,-3.078,-0.0147,,,37.0
0.7121,state,4,32.2014,0.280,-0.0879,,,36.0
0.7214,cmd,3,16.0513,,,0.00,0.00,
0.7214,cmd,4,32.2014,,,0.00,0.00,
0.7221,state,3,16.0513,-1.399,-0.0440,,,37.0
0.7221,state,4,32.2014,-4.197,-0.0293,,,36.0
0.7314,cmd,3,16.0513,,,0.00,0.00,
0.7314,cmd,4,32.2014,,,0.00,0.00,
0.7321,state,3,16.0513,3.638,-0.0440,,,37.0
0.7321,state,4,32.2014,2.518,-0.0879,,,36.0
0.7414,cmd,3,16.0513,,,0.00,0.00,
0.7414,cmd,4,32.2014,,,0.00,0.00,
0.7421,state,3,16.0513,-5.876,-0.0440,,,37.0
0.7421,state,4,32.2014,-0.280,-0.0879,,,36.0
0.7514,cmd,3,16.0513,,,0.00,0.00,
0.7514,cmd,4,32.2014,,,0.00,0.00,
0.7521,state,3,16.0513,4.757,-0.0733,,,37.0
0.7521,state,4,32.2014,1.399,-0.0879,,,36.0
0.7614,cmd,3,16.0513,,,0.00,0.00,
0.7615,cmd,4,32.2014,,,0.00,0.00,
0.7620,state,3,16.0513,4.757,-0.0440,,,37.0
0.7621,state,4,32.2014,-3.078,-0.0879,,,36.0
0.7714,cmd,3,16.0513,,,0.00,0.00,
0.7714,cmd,4,32.2014,,,0.00,0.00,
0.7721,state,3,16.0513,1.959,-0.0147,,,37.0
0.7721,state,4,32.2234,-1.399,-0.0293,,,36.0
0.7814,cmd,3,16.0513,,,0.00,0.00,
0.7814,cmd,4,32.2014,,,0.00,0.00,
0.7821,state,3,16.0513,-4.757,-0.0147,,,37.0
0.7822,state,4,32.2014,1.959,-0.0879,,,36.0
0.7914,cmd,3,16.0513,,,0.00,0.00,
0.7915,cmd,4,32.2234,,,0.00,0.00,
0.7920,state,3,16.0513,0.839,-0.0147,,,37.0
0.7922,state,4,32.2014,-0.280,-0.0293,,,36.0
0.8014,cmd,3,16.0513,,,0.00,0.00,
0.8014,cmd,4,32.2014,,,0.00,0.00,
0.8021,state,3,16.0513,5.317,-0.0147,,,37.0
0.8021,state,4,32.2014,-0.839,-0.0293,,,36.0
0.8114,cmd,3,16.0513,,,0.00,0.00,
0.8114,cmd,4,32.2014,,,0.00,0.00,
0.8121,state,3,16.0513,6.436,-0.0440,,,37.0
0.8121,state,4,32.2014,-0.839,-0.0879,,,36.0
0.8214,cmd,3,16.0513,,,0.00,0.00,
0.8215,cmd,4,32.2014,,,0.00,0.00,
0.8221,state,3,16.0513,-2.518,-0.0440,,,37.0
0.8221,state,4,32.2014,-1.399,-0.0879,,,36.0
0.8314,cmd,3,16.0513,,,0.00,0.00,
0.8314,cmd,4,32.2014,,,0.00,0.00,
0.8321,state,3,16.0513,1.959,-0.0733,,,37.0
0.8321,state,4,32.2014,-0.839,-0.0293,,,36.0
0.8414,cmd,3,16.0513,,,0.00,0.00,
0.8414,cmd,4,32.2014,,,0.00,0.00,
0.8421,state,3,16.0513,-1.399,-0.0147,,,37.0
0.8421,state,4,32.2014,1.959,-0.0879,,,36.0
0.8515,cmd,3,16.0513,,,0.00,0.00,
0.8515,cmd,4,32.2014,,,0.00,0.00,
0.8521,state,3,16.0513,-0.280,-0.0147,,,37.0
