t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.5622,cmd,4,46.3740,,,0.00,0.00,
0.5627,state,3,32.0256,-3.638,0.0147,,,31.0
0.5628,state,4,46.3740,3.078,-0.0293,,,30.0
0.5725,cmd,3,32.0256,,,0.00,0.00,
0.5725,cmd,4,46.3740,,,0.00,0.00,
0.5730,state,3,32.0256,-3.078,-0.0440,,,31.0
0.5731,state,4,46.3740,0.280,-0.0293,,,29.0
0.5824,cmd,3,32.0256,,,0.00,0.00,
0.5824,cmd,4,46.3740,,,0.00,0.00,
0.5829,state,3,32.0256,-0.839,-0.0440,,,31.0
0.5831,state,4,46.3740,-0.280,-0.0879,,,30.0
0.5923,cmd,3,32.0256,,,0.00,0.00,
0.5924,cmd,4,46.3740,,,0.00,0.00,
0.5928,state,3,32.0256,4.757,0.0147,,,31.0
0.5930,state,4,46.3520,-1.959,-0.0293,,,29.0
0.6024,cmd,3,32.0256,,,0.00,0.00,
0.6024,cmd,4,46.3740,,,0.00,0.00,
0.6028,state,3,32.0256,0.280,-0.0440,,,31.0
0.6031,state,4,46.3740,1.399,-0.0879,,,30.0
0.6124,cmd,3,32.0256,,,0.00,0.00,
0.6124,cmd,4,46.3520,,,0.00,0.00,
0.6128,state,3,32.0256,-0.280,-0.0147,,,31.0
0.6130,state,4,46.3740,0.839,-0.0879,,,29.0
0.6222,cmd,3,32.0256,,,0.00,0.00,
0.6223,cmd,4,46.3740,,,0.00,0.00,
0.6228,state,3,32.0256,-4.197,-0.0147,,,31.0
0.6229,state,4,46.3520,-1.399,-0.0293,,,30.0
0.6325,cmd,3,32.0256,,,0.00,0.00,
0.6325,cmd,4,46.3740,,,0.00,0.00,
0.6330,state,3,32.0256,3.638,-0.0440,,,31.0
0.6332,state,4,46.3740,1.959,-0.0879,,,30.0
0.6424,cmd,3,32.0256,,,0.00,0.00,
0.6424,cmd,4,46.3520,,,0.00,0.00,
0.6429,state,3,32.0256,4.757,-0.0440,,,31.0
0.6430,state,4,46.3740,3.638,-0.0293,,,30.0
0.6523,cmd,3,32.0256,,,0.00,0.00,
0.6524,cmd,4,46.3740,,,0.00,0.00,
0.6528,state,3,32.0256,-4.197,-0.0440,,,31.0
0.6531,state,4,46.3740,4.197,-0.0879,,,29.0
0.6625,cmd,3,32.0256,,,0.00,0.00,
0.6625,cmd,4,46.3740,,,0.00,0.00,
0.6630,state,3,32.0256,-4.197,-0.0440,,,31.0
0.6631,state,4,46.3740,0.839,-0.0293,,,29.0
0.6725,cmd,3,32.0256,,,0.00,0.00,
0.6725,cmd,4,46.3740,,,0.00,0.00,
0.6730,state,3,32.0256,0.280,-0.0440,,,31.0
0.6736,state,4,46.3740,-0.280,-0.0293,,,30.0
0.6824,cmd,3,32.0256,,,0.00,0.00,
0.6824,cmd,4,46.3740,,,0.00,0.00,
0.6830,state,3,32.0256,3.638,-0.0147,,,31.0
0.6831,state,4,46.3740,0.839,-0.0293,,,29.0
0.6925,cmd,3,32.0256,,,0.00,0.00,
0.6925,cmd,4,46.3740,,,0.00,0.00,
0.6930,state,3,32.0256,-1.399,-0.0147,,,31.0
0.6932,state,4,46.3520,-1.959,-0.0293,,,29.0
0.7024,cmd,3,32.0256,,,0.00,0.00,
0.7024,cmd,4,46.3740,,,0.00,0.00,
0.7029,state,3,32.0256,3.638,-0.0440,,,31.0
0.7031,state,4,46.3740,0.839,-0.0293,,,30.0
0.7124,cmd,3,32.0256,,,0.00,0.00,
0.7124,cmd,4,46.3520,,,0.00,0.00,
0.7130,state,3,32.0256,0.839,-0.0440,,,31.0
0.7131,state,4,46.3740,-0.839,-0.0293,,,29.0
0.7223,cmd,3,32.0256,,,0.00,0.00,
0.7223,cmd,4,46.3740,,,0.00,0.00,
0.7228,state,3,32.0256,-1.959,-0.0147,,,31.0
0.7230,state,4,46.3520,-5.317,-0.0879,,,29.0
0.7324,cmd,3,32.0256,,,0.00,0.00,
0.7324,cmd,4,46.3740,,,0.00,0.00,
0.7329,state,3,32.0256,11.473,-0.0147,,,31.0
0.7331,state,4,46.3520,-3.638,-0.0879,,,29.0
0.7424,cmd,3,32.0256,,,0.00,0.00,
0.7424,cmd,4,46.3520,,,0.00,0.00,
0.7429,state,3,32.0256,-1.399,-0.0733,,,31.0
0.7430,state,4,46.3520,-4.197,-0.0879,,,30.0
0.7524,cmd,3,32.0256,,,0.00,0.00,
0.7524,cmd,4,46.3520,,,0.00,0.00,
0.7530,state,3,32.0256,-0.839,-0.0440,,,31.0
