t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.6403,state,3,31.9597,0.280,-0.1026,,,31.0
0.6404,state,4,45.6489,3.078,-0.1465,,,30.0
0.6498,cmd,3,31.9597,,,79.37,2.98,
0.6498,cmd,4,45.6269,,,79.37,2.98,
0.6504,state,3,31.9597,-7.555,-0.0733,,,31.0
0.6505,state,4,45.6489,0.280,-0.0879,,,30.0
0.6598,cmd,3,31.9597,,,79.37,2.98,
0.6598,cmd,4,45.6269,,,79.37,2.98,
0.6602,state,3,31.9597,3.638,-0.1026,,,31.0
0.6607,state,4,45.6489,-1.959,-0.0879,,,30.0
0.6697,cmd,3,31.9597,,,79.37,2.98,
0.6697,cmd,4,45.6269,,,79.37,2.98,
0.6702,state,3,31.9597,-2.518,-0.0440,,,31.0
0.6707,state,4,45.6489,0.280,-0.0879,,,30.0
0.6798,cmd,3,31.9597,,,79.37,2.98,
0.6798,cmd,4,45.6269,,,79.37,2.98,
0.6804,state,3,31.9597,-1.399,-0.0440,,,31.0
0.6805,state,4,45.6489,4.757,-0.0879,,,30.0
0.6898,cmd,3,31.9597,,,79.37,2.98,
0.6898,cmd,4,45.6269,,,79.37,2.98,
0.6903,state,3,31.9597,-1.959,-0.1026,,,31.0
0.6909,state,4,45.6489,0.280,-0.0879,,,30.0
0.6997,cmd,3,31.9597,,,79.37,2.98,
0.6997,cmd,4,45.6269,,,79.37,2.98,
0.7002,state,3,31.9597,3.638,-0.0440,,,31.0
0.7007,state,4,45.6489,0.280,-0.1465,,,30.0
0.7097,cmd,3,31.9597,,,79.37,2.98,
0.7098,cmd,4,45.6269,,,79.37,2.98,
0.7104,state,3,31.9597,-2.518,-0.0147,,,31.0
0.7105,state,4,45.6489,-1.399,-0.0879,,,30.0
0.7197,cmd,3,31.9597,,,79.37,2.98,
0.7198,cmd,4,45.6269,,,79.37,2.98,
0.7203,state,3,31.9597,-0.839,-0.1026,,,31.0
0.7205,state,4,45.6489,-4.757,-0.0879,,,30.0
0.7297,cmd,3,31.9597,,,79.37,2.98,
0.7297,cmd,4,45.6269,,,79.37,2.98,
0.7303,state,3,31.9597,1.399,-0.1026,,,31.0
0.7308,state,4,45.6489,3.638,-0.1465,,,30.0
0.7397,cmd,3,31.9597,,,79.37,2.98,
0.7398,cmd,4,45.6269,,,79.37,2.98,
0.7402,state,3,31.9597,-0.839,-0.0733,,,31.0
0.7408,state,4,45.6489,0.280,-0.0879,,,30.0
0.7498,cmd,3,31.9597,,,79.37,2.98,
0.7498,cmd,4,45.6269,,,79.37,2.98,
0.7504,state,3,31.9597,1.399,-0.0440,,,31.0
0.7505,state,4,45.6489,-4.197,-0.0293,,,30.0
0.7597,cmd,3,31.9597,,,79.37,2.98,
0.7597,cmd,4,45.6269,,,79.37,2.98,
0.7603,state,3,31.9597,-1.399,-0.1319,,,31.0
0.7604,state,4,45.6489,-1.399,-0.1465,,,30.0
0.7697,cmd,3,31.9597,,,79.37,2.98,
0.7698,cmd,4,45.6269,,,79.37,2.98,
0.7703,state,3,31.9597,-2.518,-0.0440,,,31.0
0.7707,state,4,45.6489,0.280,-0.1465,,,30.0
0.7798,cmd,3,31.9597,,,79.37,2.98,
0.7798,cmd,4,45.6269,,,79.37,2.98,
0.7804,state,3,31.9597,-3.638,-0.0733,,,31.0
0.7805,state,4,45.6489,3.638,-0.0879,,,30.0
0.7897,cmd,3,31.9597,,,79.37,2.98,
