t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
1.0885,cmd,4,18.9957,,,0.00,0.00,
1.0891,state,3,0.0549,4.197,-0.0440,,,37.0
1.0891,state,4,18.9957,-5.876,-0.0879,,,35.0
1.0985,cmd,3,0.0549,,,0.00,0.00,
1.0985,cmd,4,18.9957,,,0.00,0.00,
1.0991,state,3,0.0549,-3.638,-0.0147,,,37.0
1.0992,state,4,18.9957,-5.876,-0.0293,,,35.0
1.1085,cmd,3,0.0549,,,0.00,0.00,
1.1085,cmd,4,18.9957,,,0.00,0.00,
1.1091,state,3,0.0549,-4.757,-0.0440,,,37.0
1.1092,state,4,18.9957,5.317,-0.0879,,,35.0
1.1185,cmd,3,0.0549,,,0.00,0.00,
1.1185,cmd,4,18.9957,,,0.00,0.00,
1.1192,state,3,0.0549,6.996,-0.0147,,,37.0
1.1193,state,4,18.9957,0.280,-0.0879,,,35.0
1.1286,cmd,3,0.0549,,,0.00,0.00,
1.1286,cmd,4,18.9957,,,0.00,0.00,
1.1291,state,3,0.0549,2.518,-0.0147,,,37.0
1.1293,state,4,18.9957,0.839,-0.0879,,,35.0
1.1385,cmd,3,0.0549,,,0.00,0.00,
1.1386,cmd,4,18.9957,,,0.00,0.00,
1.1391,state,3,0.0769,5.317,-0.0147,,,37.0
1.1394,state,4,18.9957,1.399,-0.0293,,,35.0
1.1485,cmd,3,0.0549,,,0.00,0.00,
1.1485,cmd,4,18.9957,,,0.00,0.00,
1.1491,state,3,0.0549,1.959,-0.0147,,,37.0
1.1493,state,4,18.9957,1.959,-0.0293,,,35.0
1.1585,cmd,3,0.0769,,,0.00,0.00,
1.1585,cmd,4,18.9957,,,0.00,0.00,
1.1591,state,3,0.0549,8.675,-0.0147,,,37.0
1.1593,state,4,18.9957,5.876,-0.0879,,,35.0
1.1685,cmd,3,0.0549,,,0.00,0.00,
1.1685,cmd,4,18.9957,,,0.00,0.00,
1.1690,state,3,0.0549,0.839,-0.0440,,,37.0
1.1693,state,4,18.9957,-8.115,-0.0293,,,35.0
1.1785,cmd,3,0.0549,,,0.00,0.00,
1.1785,cmd,4,18.9957,,,0.00,0.00,
1.1791,state,3,0.0549,-3.638,-0.0147,,,37.0
1.1793,state,4,18.9957,1.959,-0.0879,,,35.0
1.1885,cmd,3,0.0549,,,0.00,0.00,
1.1885,cmd,4,18.9957,,,0.00,0.00,
1.1892,state,3,0.0549,-2.518,0.0147,,,37.0
1.1893,state,4,18.9957,-1.959,-0.0293,,,35.0
1.1985,cmd,3,0.0549,,,0.00,0.00,
