host_monotonic_ns,host_dt_ms,sensor_ms,sensor_dt_ms,gravity_x,gravity_y,gravity_z,gravity_norm,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_mps2,accel_y_mps2,accel_z_mps2,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,temp_c
76440643622280,10.032515,58001.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.7
76440653643915,10.021635,58011.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3925442999999997,0.7060787999999999,9.659550249999999,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.7
76440663737518,10.093603,58021.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7256921,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440673603788,9.86627,58031.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7256921,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.7
76440683596353,9.992565,58041.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7060787999999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440693626343,10.02999,58051.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7060787999999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440703630556,10.004213,58061.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7060787999999999,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.7
76440713648395,10.017839,58071.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.7
76440723626841,9.978446,58081.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.7
76440733674189,10.047348,58091.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7060787999999999,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
